Team,Seed,Team Name,Strength
0,1,Auburn,95
1,16,Alabama St San Francis,15
2,8,Louisville,60
3,9,Creighton,65
4,5,Michigan,70
5,12,UC San Diego,15
6,4,Texas A&M,70
7,13,Yale,5
8,6,Ole Miss,60
9,11,New Mexico,10
10,3,Iowa State,75
11,14,Troy,15
12,7,Marquette,60
13,10,Vanderbilt,15
14,2,Michigan State,80
15,15,American Mt. St. Mary,5
16,1,Florida,95
17,16,Norfolk State,10
18,8,UConn,45
19,9,Oklahoma​,40
20,5,Memphis,65
21,12,Colorado State​,35
22,4,Maryland,65
23,13,Grand Canyon,20
24,6,Missouri,65
25,11,Drake,35
26,3,Texas Tech,85
27,14,UNC Wilmington​,25
28,7,Kansas,45
29,10,Arkansas,35
30,2,St. John's,75
31,15,Omaha,15
32,1,Duke,100
33,16,Robert Morris,10
34,8,Mississippi State,50
35,9,Baylor​,65
36,5,Oregon,70
37,12,Liberty,25
38,4,Arizona,80
39,13,Akron,20
40,6,BYU,60
41,11,VCU,30
42,3,Wisconsin,80
43,14,Montana,25
44,7,Saint Mary's,55
45,10,Vanderbilt,35
46,2,Alabama,85
47,15,Bryant,5
48,1,Houston,90
49,16,San Diego State UNC,5
50,8,Gonzaga,50
51,9,Georgia,55
52,5,Clemson,65
53,12,McNeese,30
54,4,Purdue,80
55,13,High Point​,25
56,6,Illinois,70
57,11,Texas Xavier,20
58,3,Kentucky,75
59,14,Wofford,30
60,7,UCLA,60
61,10,Utah State,45
62,2,Tennessee,85
63,15,SIU Edwardsvill,30
