Team1_name,Strength1,Team2_name,Strength2,Winner_name,NewStrength
Auburn,0.9473684210526315,Alabama St San Francis,0.10526315789473684,Auburn,0.9690451090410287
Louisville,0.5789473684210527,Creighton,0.631578947368421,Louisville,0.5892477407467388
Michigan,0.6842105263157895,UC San Diego,0.10526315789473684,Michigan,0.7404924574668105
Texas A&M,0.6842105263157895,Yale,0.0,Texas A&M,0.687840573965031
Ole Miss,0.5789473684210527,New Mexico,0.05263157894736842,Ole Miss,0.6248125382214007
Iowa State,0.7368421052631579,Troy,0.10526315789473684,Iowa State,0.8540190706997874
Marquette,0.5789473684210527,Vanderbilt,0.10526315789473684,Marquette,0.6073386300419675
Michigan State,0.7894736842105263,American Mt. St. Mary,0.0,Michigan State,0.8327969016098895
Florida,0.9473684210526315,Norfolk State,0.05263157894736842,Florida,0.9612210703261053
UConn,0.42105263157894735,Oklahoma​,0.3684210526315789,UConn,0.42899179172825375
Memphis,0.631578947368421,Colorado State​,0.3157894736842105,Memphis,0.6931051694134694
Maryland,0.631578947368421,Grand Canyon,0.15789473684210525,Maryland,0.7152147156243837
Missouri,0.631578947368421,Drake,0.3157894736842105,Missouri,0.6694197879818868
Texas Tech,0.8421052631578947,UNC Wilmington​,0.21052631578947367,Texas Tech,0.8674273404702816
Kansas,0.42105263157894735,Arkansas,0.3157894736842105,Arkansas,0.32447260251932947
St. John's,0.7368421052631579,Omaha,0.10526315789473684,St. John's,0.8409045649137625
Duke,1.0,Robert Morris,0.05263157894736842,Duke,1.1478715043936862
Mississippi State,0.47368421052631576,Baylor​,0.631578947368421,Baylor​,0.6567671446129657
Oregon,0.6842105263157895,Liberty,0.21052631578947367,Oregon,0.7176936709542926
Arizona,0.7894736842105263,Akron,0.15789473684210525,Arizona,0.8434956211443609
BYU,0.5789473684210527,VCU,0.2631578947368421,BYU,0.6230886561296881
Wisconsin,0.7894736842105263,Montana,0.21052631578947367,Wisconsin,0.7937480861948315
Saint Mary's,0.5263157894736842,Vanderbilt,0.3157894736842105,Saint Mary's,0.5377934923881329
Alabama,0.8421052631578947,Bryant,0.0,Alabama,0.9732809628355555
Houston,0.8947368421052632,San Diego State UNC,0.0,Houston,0.9450222433426309
Gonzaga,0.47368421052631576,Georgia,0.5263157894736842,Georgia,0.5316405075035897
Clemson,0.631578947368421,McNeese,0.2631578947368421,Clemson,0.6407133705113979
Purdue,0.7894736842105263,High Point​,0.21052631578947367,Purdue,0.8124315319119986
Illinois,0.6842105263157895,Texas Xavier,0.15789473684210525,Illinois,0.777551608674466
Kentucky,0.7368421052631579,Wofford,0.2631578947368421,Kentucky,0.7809418184636538
UCLA,0.5789473684210527,Utah State,0.42105263157894735,UCLA,0.6005321938940613
Tennessee,0.8421052631578947,SIU Edwardsvill,0.2631578947368421,Tennessee,0.944882806104694
Auburn,0.9690451090410287,Louisville,0.5892477407467388,Auburn,1.0162819722544552
Michigan,0.7404924574668105,Texas A&M,0.687840573965031,Texas A&M,0.6971615036954111
Ole Miss,0.6248125382214007,Iowa State,0.8540190706997874,Iowa State,0.8992530032248994
Marquette,0.6073386300419675,Michigan State,0.8327969016098895,Michigan State,0.8579775488331257
Florida,0.9612210703261053,UConn,0.42899179172825375,Florida,1.0097223974118894
Memphis,0.6931051694134694,Maryland,0.7152147156243837,Memphis,0.6961675463518482
Missouri,0.6694197879818868,Texas Tech,0.8674273404702816,Missouri,0.7050634847808352
Arkansas,0.32447260251932947,St. John's,0.8409045649137625,St. John's,0.8822259509573276
Duke,1.1478715043936862,Baylor​,0.6567671446129657,Duke,1.2003903440062909
Oregon,0.7176936709542926,Arizona,0.8434956211443609,Arizona,0.8631225714329277
BYU,0.6230886561296881,Wisconsin,0.7937480861948315,Wisconsin,0.7941311312013856
Saint Mary's,0.5377934923881329,Alabama,0.9732809628355555,Alabama,0.9934069197313529
Houston,0.9450222433426309,Georgia,0.5316405075035897,Houston,0.972687722382499
Clemson,0.6407133705113979,Purdue,0.8124315319119986,Purdue,0.828872094405097
Illinois,0.777551608674466,Kentucky,0.7809418184636538,Illinois,0.7780741553354832
UCLA,0.6005321938940613,Tennessee,0.944882806104694,Tennessee,0.9504279572125233
Auburn,1.0162819722544552,Texas A&M,0.6971615036954111,Texas A&M,0.7395677196012718
Iowa State,0.8992530032248994,Michigan State,0.8579775488331257,Iowa State,0.905247550408753
Florida,1.0097223974118894,Memphis,0.6961675463518482,Memphis,0.7256692220663629
Missouri,0.7050634847808352,St. John's,0.8822259509573276,St. John's,0.8892285930522142
Duke,1.2003903440062909,Arizona,0.8631225714329277,Duke,1.215962318501664
Wisconsin,0.7941311312013856,Alabama,0.9934069197313529,Wisconsin,0.827055181093461
Houston,0.972687722382499,Purdue,0.828872094405097,Houston,0.9756141419602276
Illinois,0.7780741553354832,Tennessee,0.9504279572125233,Tennessee,0.9774850000486806
Texas A&M,0.7395677196012718,Iowa State,0.905247550408753,Iowa State,0.925137876284059
Memphis,0.7256692220663629,St. John's,0.8892285930522142,Memphis,0.7382218955016668
Duke,1.215962318501664,Wisconsin,0.827055181093461,Duke,1.2711174671198713
Houston,0.9756141419602276,Tennessee,0.9774850000486806,Houston,0.9757705703824364
Iowa State,0.925137876284059,Memphis,0.7382218955016668,Memphis,0.7552175495395984
Duke,1.2711174671198713,Houston,0.9757705703824364,Duke,1.2830930992229206
Memphis,0.7552175495395984,Duke,1.2830930992229206,Duke,1.3407201056196911
